Date,EPS,Revenue
12/31/24,0.66,25707
9/30/24,0.62,25182
6/30/24,0.42,25500
3/31/24,0.34,21301
12/31/23,2.26,25167
9/30/23,0.53,23350
6/30/23,0.78,24927
3/31/23,0.73,23329
12/31/22,1.07,24318
9/30/22,0.95,21454
6/30/22,0.65,16934
3/31/22,0.95,18756
12/31/21,0.68,17719
9/30/21,0.48,13757
6/30/21,0.34,11958
3/31/21,0.13,10389
12/31/20,0.08,10744
9/30/20,0.09,8771
6/30/20,0.03,6036
3/31/20,0.01,5985
12/31/19,0.05,7384
9/30/19,0.05,6303
6/30/19,-0.15,6350
3/31/19,-0.27,4541
12/31/18,0.06,7226
9/30/18,0.12,6824
6/30/18,-0.28,4002
3/31/18,-0.28,3409
12/31/17,-0.27,3288
9/30/17,-0.25,2985
6/30/17,-0.14,2790
3/31/17,-0.14,2696
12/31/16,-0.04,2285
9/30/16,0.01,2298
6/30/16,-0.14,1270
3/31/16,-0.14,1147
12/31/15,-0.17,1214
9/30/15,-0.12,937
6/30/15,-0.1,955
3/31/15,-0.08,940
12/31/14,-0.06,957
9/30/14,-0.04,852
6/30/14,-0.03,769
3/31/14,-0.03,621
12/31/13,0,615
9/30/13,-0.02,431
6/30/13,-0.02,405
3/31/13,0,562
12/31/12,-0.05,306
9/30/12,-0.07,50
6/30/12,-0.07,27
3/31/12,-0.06,30
12/31/11,-0.05,39
9/30/11,-0.04,58
6/30/11,-0.04,58
3/31/11,-0.03,49
12/31/10,0.43,36
9/30/10,-0.03,31
6/30/10,-0.34,28
3/31/10,-0.27,21
12/31/09,0,
9/30/09,-0.04,46
6/30/09,-0.1,27
